,Type,Jewelry,Clothing,Eye Color,DNA,Back,Hair,Mouth,Eyewear,Accessories,Facial Feature,Helmet,Rarity score,Token Id
206,None,None,FLOOR Tee,None,Robot,None,Top Hat,None,None,None,None,None,3.621410717833117,207
207,None,None,WHT Utility Vest,None,Robot,None,RD Pilot,Wise Fancy Mustache,None,None,None,None,14.552063150058661,208
208,None,None,GRNDT Fur Coat,None,Robot,None,WHT Quiff,RNBW GRILLS,None,Cross Earring,None,None,30.088958197401443,209
209,None,None,STRIPE Tee,None,Robot,None,GRN Cyber Dreads,SMILE,Cyber Eye Patch,None,None,None,26.782552752048023,210
210,GLD STONED,None,LIME GANG,BLU-PURP,Human,None,BLCK Party Hat,None,None,None,None,None,21.04525846586214,211
211,MK-BLCK,None,BLCK BNDN Shirt,None,Robot,None,BLND Curtains,RNBW GRILLS,None,None,None,None,26.506132797531272,212
212,None,SLVR CBLE,CAMO PFA JCKT,PNK-BLU,Human,None,None,Angry,Cyborg V1,None,None,None,41.582165785899946,213
213,MURAKAMI DRIP,None,BLCK-BLK Waistcoat,RNBW,Human,None,BLU Braid,Organism M78.8,None,Cross Earring,SAD TAT,None,59.80323997724992,214
214,None,None,PNK HiTECH Gown,None,Robot,None,WHT Stylish,None,None,SLVR Round,None,None,19.578944888785188,215
215,None,None,PNK ORNG Fur Coat,PURP,Human,None,PNK BWLCUT,SMILE,None,None,STARZ TAT,None,32.81831274003578,216
216,None,None,NEON HOODIE,PURP,Human,None,FLME Head Scarf,None,BILLIONAIRE,None,Slash Scar,None,35.45938503628185,217
217,MK1,None,WHT BKR JCKT,None,Robot,None,RD Stylish,None,None,None,None,None,15.654387655997159,218
218,MK1,None,PNK ORNG Fur Coat,None,Robot,None,BLCK Spiked,None,None,None,None,None,15.830416491446453,219
219,MK1,None,V3 WHT SKL GRL,None,Robot,None,RD Pigtails,None,3D,None,None,None,29.14254110063447,220
220,None,BLCK-RD ZK-BEADZ,PURP Utility Vest,BLU,Human,None,CYBR DRDZ,TCTL SMILE,Assault Glasses,None,None,None,42.18495130990692,221
221,None,None,Blade Melt Tee,None,Robot,None,GRN Shape Up,None,None,SLVR STUD,None,None,19.388734655154273,222
222,None,PURP Two Piece,CLNX FRSH Shirt,None,Robot,None,BLU Shape Up,None,None,None,None,None,14.031535092322414,223
223,None,None,IRI Tech JCKT,GRN,Human,Sword,FLME SD Mask,None,None,None,None,None,24.793555772418276,224
224,MK-BLCK,None,LIME GANG,None,Robot,None,BRWN Long,TRIP,None,None,None,None,26.848705406751616,225
225,None,DRIP CHRM,GM HOODIE,PNK-BLU,Human,None,MEDUZA,Romantico,None,None,BIRTHMRK,None,43.85122161059422,226
226,None,PURP Two Piece,STRIPE Tee,BRWN,Human,None,YU-BLCK,None,VSN Glasses,None,None,None,31.26458093721042,227
227,Divine,GLD CBLE,V1 WHT SKL GRL,None,Angel,None,BLU Hacker,Angry,None,None,None,None,40.92524798221672,228
228,MURAKAMI DRIP,None,JELLYFISH BLW UP JCKT,GRN Breezy,Human,None,YU-BLU,Romantico,None,None,BCODE TAT,None,44.0111712826554,229
229,MURAKAMI DRIP,GLD G-Link,WHT Jellyfish Tee,None,Angel,None,Cowboy,Jagged RNBW,Glass X,None,None,None,51.6777706496394,230
230,MK1,Hi-TECH CBLE,PURP CAMO PFA JCKT,None,Robot,None,WHT Ponytail,Bubble,None,SLVR Round,None,None,52.69187448448721,231
231,None,None,Space PFA JCKT,PNK,Human,None,BLU Curtains,None,Snow Storm,None,None,None,21.023400729607918,232
232,None,None,BLU ORNG BNDN Shirt,PNK,Human,None,YLLW Spiked,None,None,None,Scratch Scarz,None,22.778713408027492,233
233,None,None,ORNG FRSH Shirt,None,Robot,None,BLND Hairclip,None,Kawaii Patch,None,None,None,16.952904040241247,234
234,None,None,RFX Tee,YLLW,Human,None,WHT Unkept,SMILE,None,PTRA Earring,None,None,33.73062972279952,235
235,None,None,ORNG FRSH Shirt,GRN,Human,None,BLCK Spiked,MAD,None,None,None,None,18.621649517508313,236
236,Divine,S-PDLCK,SD Tee,None,Angel,None,YU-RD,Gas Mask,None,None,None,None,41.04826114603938,237
237,None,None,STRIPE Tee,BLU-PURP,Human,None,WHT Stylish,None,None,None,Slash Scar,None,22.66704654649131,238
238,None,None,CLNX FRSH Shirt,None,Robot,None,NVY DRDZ,None,None,SLVR STUD,None,None,19.649927001545116,239
239,MURAKAMI DRIP,None,WHT Jellyfish Tee,None,Demon,None,WHT OCTOPUS,None,None,None,None,None,17.66095165673024,240
240,None,CYN Two Piece,BLCK PIN BKR JCKT,None,Robot,None,GRN Cyber Dreads,Angry,None,None,None,None,24.430975176609554,241
241,None,None,BLCK PIN BKR JCKT,None,Robot,None,GOAT HRNS,None,None,None,None,None,3.778514096955647,242
242,None,CYN Two Piece,BLU ORNG BNDN Shirt,GRN,Human,None,PNK Ponytail,Lollipop,BILLIONAIRE,None,CLNX TAT,None,56.43367214353883,243
243,None,CYN Two Piece,BLCK Utility Vest,PNK,Human,None,BRWN Buns,None,Cyborg V1,None,None,None,31.77465623841585,244
244,None,CYN Two Piece,BLCK Tee,BRWN,Human,None,ZK Bucket,None,VSN Glasses,None,None,None,31.237137534181798,245
245,MK-BLCK,None,YLLW BLW UP JCKT,None,Robot,Energy Wings,BLCK Spiked,None,None,None,None,None,32.837849853477465,246
246,STONED,None,BLCK BKR JCKT,YLLW,Human,None,BLND Curtains,None,Cyber Eye Patch,None,None,None,33.40611796978999,247
247,None,None,IRI Tech JCKT,YLLW,Human,Energy Wings,YU-BRED,GLD GRILLZ,None,None,None,None,35.29868757638987,248
248,MURAKAMI DRIP,VVS PANDA,STRIPE Tee,AWAKEN,Human,None,BRWN 2 Horns,None,3D,None,None,None,42.26731885471358,249
249,MK1,S-PDLCK,THRML PFA JCKT,None,Robot,None,PNK Ponytail,None,None,GLD Round,None,None,42.18065366608777,250
250,None,SLVR Two Piece,V1 NVY SKL GRL,None,Robot,None,GRN Cyber Cat,None,None,None,None,None,14.50283261940334,251
251,None,None,BLCK BKR JCKT,None,Robot,None,BLU DRDZ,None,None,None,None,None,3.7018568928637348,252
252,MURAKAMI DRIP,None,GRN UNDRWRLD Uniform,HALF-OPEN,Angel,None,WHT Curtains,None,None,None,None,None,26.417546350911824,253
253,None,None,GM HOODIE,None,Demon,None,PNK BWLCUT,TCTL SMILE,BILLIONAIRE,None,None,None,30.974928324126655,254
254,MURAKAMI DRIP,SLVR Two Piece,JS Tee,SPINNING,Angel,Energy Wings,YU-BLU,Jagged RNBW,None,None,None,None,63.648757113776874,255
255,None,RBY Two Piece,BLCK TCTL Vest,None,Robot,None,BLCK Beanie,Angry,None,None,None,None,24.451796500882672,256
256,None,SLVR CBLE,STRIPE Tee,BLU CRYSTL,Human,None,None,1Tooth,None,None,WEBZ TAT,None,44.004537811617276,257
257,None,G-PDLCK,CAMO PFA JCKT,BLU-PURP,Human,None,GRN BWLCUT,Lollipop,None,None,None,None,29.2357714685351,258
258,None,None,BRED KBA JCKT,None,Undead,None,BRWN Shaggy,None,None,None,None,None,9.24219220088375,259
259,None,S-HIRE CBLE,WAGMI Tee,CLSD PURP,Human,None,PURP BRDZ,GLD GRILLS,None,None,SAD TAT,None,44.27044710648141,260
260,None,CHRM,WHT PNK Fur Coat,PURP,Human,None,PURP Wrap,None,None,PTRA Earring,Sword VSN  TAT,None,48.78208823393306,261
261,None,None,FLOOR Tee,None,Angel,None,BLCK Ponytailz,Angry,Kawaii Patch,None,None,None,30.896365650724604,262
262,None,RBY Two Piece,THRML PFA JCKT,None,Robot,None,GRN DRDZ,None,RD LAZER,None,None,None,27.323843649779157,263
263,MURAKAMI DRIP,None,WHT Jellyfish Tee,GRN Breezy,Human,BLCK UNDRWRLD WINGZ,NEON Cap,None,Drip Scouter,None,11-11 TAT,None,62.854789596391946,264
264,MURAKAMI DRIP,None,RD BBL Vest,WIDE-OPEN,Human,None,BLU OCTOPUS,SMILEY RNBW,None,None,None,None,29.222516202878396,265
265,None,RBY CBLE,JS Tee,CLSD PURP,Human,None,None,ICED GRILLS,None,PTRA Earring,Sword VSN  TAT,None,59.984895610514855,266
266,None,None,NEON HOODIE,BRWN,Human,None,TEAL Spiked,SFTY Mask,None,None,None,None,18.493893120745852,267
267,None,None,MONO Tee,YLLW,Human,None,TEAL Spiked,None,None,None,369 TAT,None,22.55916332186508,268
268,MURAKAMI DRIP,None,WHT PNK Fur Coat,SPINNING,Human,None,BLCK Ponytailz,None,None,None,None,None,18.79581313187182,269
269,None,SG-PDLCK,Blade Melt Tee,CLSD YLLW,Human,None,PURP Wrap,None,None,PTRA Earring,None,None,34.80941027742463,270
270,None,None,BRWN Fur Coat,PNK-BLU,Human,None,BLCK Quiff,None,Eye Patch,None,None,None,21.072625199528876,271
271,None,RBY Two Piece,FLOOR Tee,PNK-BLU,Human,Robotic Arms,PNK Curtains,Gas Mask,Cyber Bindi,None,None,None,58.39440213880274,272
272,MK-BLCK,GLD Iced Cuban,PURP CAMO PFA JCKT,None,Robot,None,PURP Wrap,None,None,None,None,None,26.696355591838916,273
273,MK-BLCK,None,V1 WHT SKL GRL,None,Robot,None,Dip-Dye Part Hat,Cigar,None,None,None,None,27.00957986146724,274
274,MK1,None,V2 WHT SKL GRL,None,Robot,None,WHT Ponytail,None,None,None,None,None,15.888146493021726,275
275,None,None,STRIPED POLO,None,Robot,None,RTFKT TECH Cap,None,None,None,None,None,3.9507616238815193,276
276,MURAKAMI DRIP,None,BRED KBA JCKT,HALF-OPEN,Human,Energy Wings,PNK Shape Up,None,None,None,None,None,35.13590624592231,277
277,None,None,BLCK BNDN Shirt,None,Demon,None,RD Pilot,None,Cyborg V1,None,None,None,20.693988532158837,278
278,None,MRBLE G-Link,ORNG FRSH Shirt,None,Angel,None,BLCK BRDZ,None,Cyber Bindi,None,None,None,31.094135011263063,279
279,None,None,WHT Utility Vest,BLU-PURP,Human,None,GRN BWLCUT,MAD,None,None,None,None,18.789166419380567,280
280,MK-BLCK,None,LIME GANG,None,Robot,None,CYBR DRDZ,SMILE,None,None,None,None,26.295095566090467,281
281,None,None,PURP Utility Vest,VVS CRYSTL,Human,None,WHT Quiff,None,None,None,None,None,8.821119621224867,282
282,None,SG-PDLCK,GM MONO HOODIE,PNK-BLU,Human,None,PURP Wrap,None,None,None,Angry TAT,None,33.20911065145843,283
283,None,None,BRED KBA JCKT,None,Robot,None,YU-BRED,None,None,None,None,None,3.748227692127812,284
284,None,None,PNK ORNG Fur Coat,CLSD PNK,Human,None,BRAINZ,Alien,None,None,SKULL WEBZ TAT,None,34.012599800889035,285
285,MURAKAMI DRIP,None,MONO Tee,RNBW,Human,None,RD Stylish,None,None,None,Slash Scar,None,33.136335716759,286
286,MURAKAMI DRIP,GPURP Two Piece,CLNX HOODIE,HALF-OPEN,Robot,GRN UNDRWRLD WINGZ,RD DRDZ,None,None,None,None,None,49.53256180183509,287
287,MURAKAMI DRIP,KAWAII CHRM,BLCK Jellyfish Tee,CLSD YLLW Breezy,Human,None,BLU KO2 Tiara,SMILEY RNBW,Cyber Eye Patch,None,SKULL WEBZ TAT,None,67.70151048167573,288
288,STONED,MRBLE G-Link,WHT GRNG Dress,BRWN,Human,None,GRN Head Scarf,SPIDERZ,None,None,None,None,41.87556416094484,289
289,None,RNBW G-Link,V1 WHT SKL GRL,YLLW,Human,None,FLME SD Mask,None,None,None,CLNX TAT,None,33.58385568780024,290
290,None,None,WAGMI Tee,None,Angel,None,PNK BWLCUT,GLD GRILLZ,Snow Storm,None,None,None,31.057244857272337,291
291,None,None,BRWN Fur Coat,None,Robot,None,BLND Long Split,Lollipop,Drip Scouter,None,None,None,27.18002109079356,292
292,MK-BLCK,None,GRDNT PFA JCKT,None,Robot,None,CYBR DRDZ,None,Drip Scouter,None,None,None,28.930585832770916,293
293,None,None,WAGMI Tee,None,Robot,None,BLND Curtains,SMILE,Cyber Eyes,None,None,None,26.704003560467264,294
294,None,None,MONO Tee,None,Angel,None,WHT Unkept,None,None,Neo Earrings,None,None,23.528187722273653,295
295,None,None,CLNX FRSH Shirt,None,Robot,None,WHT Turban,None,None,None,None,None,3.7643152392757466,296
296,None,MRBLE G-Link,FRSH Shirt,None,Robot,None,BLND Stylish,None,None,None,None,None,14.301247664351735,297
297,None,MRBLE G-Link,CLNX HOODIE,PNK,Human,None,TEAL Spiked,None,None,None,None,None,18.617832419893993,298
298,None,SG-PDLCK,BLCK Tee,BLCK Surprised,Human,None,PURP Shape Up,None,None,None,None,None,18.51940040464318,299
299,None,None,ORNG FRSH Shirt,None,Robot,None,ORNG Bandana TECH Cap,WZRD,3RD Eye,None,None,None,27.42133662759936,300
300,None,None,PURP CAMO PFA JCKT,BRWN,Human,None,BLND Curtains,Ghost,None,None,None,None,18.46266443247701,301
301,MK1,GLD Iced Cuban,SPACE TRIP Tee,None,Robot,None,PNK Pilot,Angry,None,None,None,None,36.47176260780621,302
302,None,SLVR G-Link,WHT Utility Vest,BLU,Human,None,BLCK Shape Up,TCTL SMILE,TECH GOGGLES,None,None,None,42.10073163439734,303
303,MURAKAMI DRIP,None,BLCK BKR JCKT,PNK-BLU,Human,None,PNK OCTOPUS,None,Eye Patch,None,VSN TAT,None,45.694575328672556,304
304,MURAKAMI DRIP,None,GRN HAWAIIAN Shirt,YLLW Breezy,Human,None,Tied Dip-Dye,Jagged RNBW,None,None,VSN TAT,None,43.958173603273785,305
305,None,BLCK-RD ZK-BEADZ,PURP Utility Vest,YLLW,Human,None,None,TCTL SMILE,None,None,None,None,29.025677588589293,306
306,None,None,GRDNT PFA JCKT,None,Demon,None,Bunny,SFTY Mask,None,None,None,None,18.186228525163877,307
307,MURAKAMI DRIP,None,Blade Melt Tee,BRWN,Human,GRY UNDRWRLD WINGZ,LoneSome Cowboy,Organism M78.8,None,None,None,None,45.18834568304348,308
308,None,None,RD VARSITY JCKT,None,Robot,None,CRWN,None,Cyborg V2,None,None,None,17.004954391971165,309
309,None,None,GRN Fur Coat,None,Angel,None,BRED Visor,Knife,None,None,None,None,18.534475400110782,310
310,None,None,CLNX HOODIE,BLU-PURP,Human,None,PNK MoHWK,None,None,None,None,None,8.207843463257749,311
311,None,None,CAMO PFA JCKT,PNK,Human,None,TECH Cap,None,None,None,None,None,8.092376961685144,312
312,None,None,SPACE TRIP Tee,VVS CRYSTL,Human,None,PURP BRDZ,None,Snow Storm,PTRA Earring,333 VSN TAT,None,51.8934116602383,313
313,None,SLVR CBLE,RFX Tee,None,Angel,None,BRWN Ponytail,None,None,None,None,None,17.929730965525895,314
314,None,None,PNK ORNG Fur Coat,None,Robot,Sword Sheath,BLCK BWLCUT,None,None,None,None,None,20.23857249285868,315
315,MK1,PURP Two Piece,CAMO BBL Vest,None,Robot,None,PURP BRDZ,None,None,None,None,None,26.172060821303724,316
316,None,None,28 JCKT,None,Robot,None,Kawaii,None,None,None,None,None,3.9394046527373714,317
317,None,None,RD VARSITY JCKT,None,Robot,None,BLCK-GRN Tiara,None,None,None,None,None,3.875990248124369,318
318,None,None,BONE PFA JCKT,PNK-BLU,Human,None,RD Spike,None,None,None,EKO TAT,None,22.95475106932518,319
319,None,None,PURP Utility Vest,None,Robot,None,None,None,None,None,None,None,3.5125788076031075,320
320,None,RNBW G-Link,BONE PFA JCKT,BLCK Surprised,Human,None,BLCK Wrap,TCTL SMILE,None,None,None,None,29.648353692700447,321
321,None,Bladez CHKR,PURP CAMO PFA JCKT,None,Robot,None,BRWN Ponytail,None,None,None,None,None,14.436586417156052,322
322,DRK,None,BLCK BKR JCKT,None,Demon,None,PNK Curtains,None,None,PTRA Earring,None,None,35.87951019314999,323
323,None,None,CLNX Tee,None,Angel,None,RTFKT TECH Cap,Gas Mask,None,GLD STUD,None,None,34.16488133780119,324
324,MURAKAMI DRIP,CYN Two Piece,BLCK Jellyfish Tee,CLSD GRN,Human,None,BLU OCTOPUS,PSYCHIC LAZER,None,None,CLNX TAT,None,54.58005492388982,325
325,None,None,V1 BLU SKL GRL,CLSD BLU,Human,None,RD Stylish,None,None,None,None,None,8.855181659519038,326
326,None,PURP G-Link,PURP KBA JCKT,CLSD PNK,Human,None,BLND Curtains,None,Drip Scouter,None,SKULL WEBZ TAT,None,46.63606007180649,327
327,None,SLVR Two Piece,BLCK Utility Vest,CLSD PURP,Human,None,BRWN Ponytail,SFTY Mask,None,None,None,None,29.874561938927812,328
328,None,None,BLU ORNG BNDN Shirt,PURP,Human,None,BRWN Ponytail,Lollipop,Snow Storm,PTRA Earrings,None,None,47.60607043816854,329
329,None,GLD Two Piece,BLCK VARSITY JCKT,None,Angel,None,Dip-Dye Part Hat,RNBW GRILLZ,None,None,None,None,28.81736503539975,330
330,MURAKAMI DRIP,MRBLE G-Link,CAMO BBL Vest,AWAKEN,Robot,None,WHT Turban,None,None,None,None,None,32.980202797363035,331
331,None,GLD CBLE,BLU HAWAIIAN Shirt,PNK-BLU,Human,None,PURP Hacker,None,VSN Glasses,None,None,None,31.56931179873358,332
332,None,RBY Two Piece,CLNX HOODIE,PNK-BLU,Human,None,WHT BWLCUT,None,Aviator,None,None,None,31.486979601249303,333
333,None,None,CAMO BBL Vest,BLU-PURP,Human,Sword,BRWN Long,Bubblegum,Aviator,None,None,None,48.41137442050888,334
334,MK2,DRIP CHRM,Space PFA JCKT,WIDE-OPEN,Robot,None,GRN Shape Up,None,Aviator,SLVR Round,None,None,64.12751227767023,335
335,None,MRBLE G-Link,BLCK GM Tee,CLSD BLU,Human,Robotic Arms,ORNG Bandana TECH Cap,ROBO,None,PTRA Earring,Band-Aid,None,76.33641299807454,336
336,None,None,CLNX Tee,None,Angel,None,BLCK BWLCUT,1Tooth,None,None,None,None,18.00545863833189,337
337,None,CYN Two Piece,CLNX Tee,None,Robot,None,PNK MoHWK,None,None,None,None,None,14.066548483794856,338
338,None,None,BLU Waistcoat,BRWN,Human,None,WHT BWLCUT,None,None,None,BIRTHMRK,None,22.613103770545038,339
339,STONED,None,PURP CAMO PFA JCKT,BRWN,Human,None,PNK Shape Up,ICED GRILLS,None,None,None,None,30.957099597706627,340
340,None,MRBLE G-Link,BLU PURP BNDN Shirt,BRWN,Human,None,GRN Stylish,None,None,SLVR STUD,None,None,34.42613109721561,341
341,None,None,V2 BLCK SKL GRL,None,Robot,None,BLCK-GRN Tiara,None,None,None,None,None,3.9640082550081592,342
342,None,None,GM HOODIE,None,Angel,None,BLCK BWLCUT,None,None,None,None,None,7.574612661710346,343
343,None,None,JS Tee,None,Robot,None,RD Braid,None,None,None,None,None,3.6611649669694333,344
344,MURAKAMI DRIP,None,BLCK Jellyfish Tee,BLU-PURP,Human,None,BLND Pigtails,SMILEY RNBW,None,VVS STUD,369 VSN TAT,None,59.57707411743532,345
345,None,None,CLNX FRSH Shirt,None,Angel,None,YU-BLCK,RNBW GRILLZ,None,None,None,None,18.240154521108014,346
346,None,None,LIME GANG,CLSD GRN,Human,None,BLCK Shape Up,GLD GRILLS,None,None,11-11 TAT,None,33.79589349188119,347
347,None,None,888 POLO,PNK-BLU,Human,None,DRIP,Angry,BILLIONAIRE,None,TRi HRUS TAT,None,46.04085956717501,348
348,None,CHRM,BLCK VARSITY JCKT,CLSD BLU,Human,None,WHT Unkept,ROBO,None,None,WARNING TAT,None,43.85880769882388,349
349,None,None,BLCK-BLK Waistcoat,None,Robot,None,BRWN Shaggy,None,None,None,None,None,3.8419242331133994,350
350,MURAKAMI DRIP,VVS PANDA,YLLW BLW UP JCKT,None,Robot,None,GRN Head Scarf,Jagged RNBW,None,None,None,None,34.880145803497115,351
351,None,None,SD Tee,None,Robot,None,BLU MoHWK,None,None,None,None,None,3.604375842953475,352
352,MURAKAMI DRIP,VVS PANDA,BLCK GM Tee,None,Demon,None,PURP KO2 Tiara,ROBO,Eye Patch,None,None,None,51.25574516505134,353
353,None,SLVR G-Link,CAMO BBL Vest,None,Undead,None,RD DRDZ,None,None,None,None,None,19.607677758178262,354
354,None,SLVR Two Piece,BLCK TCTL Vest,None,Robot,None,PNK MoHWK,RNBW GRILLS,None,None,None,None,24.834123504148366,355
355,None,None,MONO Tee,None,Angel,None,BRWN Floral Wreath,RNBW GRILLZ,None,None,None,None,18.156873977527987,356
356,None,S-HIRE G-Link,PURP KBA JCKT,PURP,Human,None,BRWN Ponytail,None,None,Cross Earring,None,None,34.31541583138629,357
357,None,SG-PDLCK,STRIPE Tee,None,Robot,None,None,None,None,SLVR Round,None,None,29.578853170880095,358
358,MK1,CYN Two Piece,BLCK TCTL Vest,None,Robot,None,GRN Stylish,None,None,None,None,None,26.19287331916833,359
359,None,None,LIME GANG,PNK,Human,None,PNK Shape Up,None,None,Gold Round Earrings,None,None,23.829219955119566,360
360,ICE,PURP Two Piece,CLNX HOODIE,None,Demon,None,BLU Hacker,Angry,Glass X,SLVR STUD,None,None,69.71956702231623,361
361,None,GLD G-Link,MONO Tee,None,Robot,None,PURP Shape Up,FANGZ,None,SLVR Round,None,None,40.4670832815399,362
362,None,DRIP CHRM,BLCK BKR JCKT,BLU-PURP,Human,None,WHT Curtains,None,Aviator,None,333 TAT,None,46.02379584091455,363
363,None,G-PDLCK,28 JCKT,PURP,Human,None,PURP Curtains,None,None,None,None,None,18.525091694180723,364
364,MK1,IRI Blade CHKR,Future Dress,None,Robot,None,GRN Hacker,None,VSN Glasses,RTFKT Earrings,None,None,55.56939786303069,365
365,None,CHRM,GRN HAWAIIAN Shirt,None,Angel,None,GRN DRDZ,Angry,None,PTRA Earrings,None,None,44.39054322318874,366
366,None,None,WHT BKR JCKT,None,Demon,None,MEDUZA,None,None,VVS STUD,None,None,23.772374001316884,367
367,Divine,None,FRSH Shirt,None,Angel,None,Sound Wave,SMILE,None,None,None,None,30.353114195525578,368
368,MURAKAMI DRIP,SLVR CBLE,WHT BKR JCKT,CLSD GRN,Human,None,BLND Pigtails,Tan Tan Bo,None,None,VSN TAT,None,54.47313182852028,369
369,ICE,None,CAMO PFA JCKT,None,Demon,None,BLU Braid,None,Kawaii Patch,None,None,None,33.181622147953235,370
370,None,None,STRIPE Tee,None,Demon,None,BLU Buns,Lollipop,None,SLVR STUD,None,None,34.0589068805059,371
371,None,CHRM,PURP KBA JCKT,None,Robot,None,Sound Wave,None,None,None,None,None,14.179170481107207,372
372,None,PURP Two Piece,SPACE TRIP Tee,None,Robot,None,BLU MoHWK,Romantico,Cyborg V2,None,None,None,37.78535600856286,373
373,None,S-PDLCK,RTFKT CHROME Tee,None,Demon,Energy Wings,BLCK Quiff,Knife,BLU LAZER,GLD Round,None,None,74.42509486819917,374
374,None,None,STRIPE Tee,None,Demon,Energy Wings,WHT Curtains,MAD,Cyber Eyes,PTRA Earring,None,None,63.263484713475506,375
375,MK1,None,GRDNT PFA JCKT,None,Robot,None,DAD Cap,None,None,None,None,None,15.784046273818916,376
376,None,None,GRNDT Fur Coat,VVS CRYSTL,Human,None,BLND Quiff,ROBO,None,None,None,None,19.057944176345288,377
377,None,None,CLNX HOODIE,BLU-PURP,Human,None,PNK Curtains,None,None,None,None,None,8.111311972166229,378
378,None,None,CAMO BBL Vest,None,Robot,None,YU-BRED,None,None,None,None,None,3.7302463139216453,379
379,MURAKAMI DRIP,None,STRIPED POLO,HALF-OPEN,Murakami,Robotic Arms,GRN BWLCUT,None,None,Cross Earring,None,None,60.3312236305096,380
380,None,CHRM,HVY MTL HOODIE,CLSD PNK-BLU,Human,None,PURP Head Scarf,Angry,None,None,None,None,29.461957066944628,381
381,MURAKAMI DRIP,GPURP Two Piece,BLU BLW UP JCKT,SPINNING,Robot,Energy Wings,BLU KO2 Tiara,None,None,None,None,None,49.63097126608746,382
382,Divine,None,BRED KBA JCKT,None,Angel,None,BLU Ponytailz,ROBO,Cyborg V2,None,None,None,43.511389491513306,383
383,MURAKAMI DRIP,None,CLNX HOODIE,PURP,Human,None,Flower Hat,Tan Tan Bo,None,None,None,None,28.61686294603697,384
384,MURAKAMI DRIP,SLVR CBLE,WAGMI Tee,None,Angel,GRN UNDRWRLD WINGZ,TECH Cap,SMILEY RNBW,None,None,None,None,55.20911270226774,385
385,None,None,BLCK TCTL Vest,PURP,Human,None,ZK Bucket,None,3RD Eye,None,BIRTHMRK,None,35.634455098506166,386
386,None,None,MONO Fur Coat,CLSD PURP,Human,None,None,Cyber Jaw,None,None,None,None,19.269930820975663,387
387,None,RNBW CBLE,YLLW BLW UP JCKT,PURP,Human,None,PURP Wrap,None,None,None,SMLY TAT,None,33.20910497776162,388
388,MURAKAMI DRIP,RNBW CBLE,BRWN HiTECH Gown,HALF-OPEN,Robot,None,PURP KO2 Tiara,None,None,None,None,None,33.24517620942864,389
389,None,None,RCS Tee,PURP,Human,None,RD Braid,None,Snow Storm,None,369 TAT,None,35.492504742965366,390
390,None,None,THRML PFA JCKT,None,Robot,None,DAD Cap,None,None,PTRA Earring,None,None,19.535419030428855,391
391,None,None,PURP CAMO PFA JCKT,None,Angel,None,GRN Shape Up,Angry,None,None,None,None,17.722491917989746,392
