,Hand,Hat,Fit,Mouth,Eyes,Skin,Hair,Background,FX,Face Accessory,Hand Back,Hand Open L Attr,Head Accessory,Hand Face Attr,Earring,Back,Neck,Hand Open R Attr,Hand Palm Attr,Hand Hold Attr,Head,Legendary,Rarity score,Token Id
161,Default Open L,None,Green Haus T-Shirt,A,Void,Default,Messy,Light Purple,Feathers,Browline Glasses,M4,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,69.6798820785204,162
162,Default Hold,None,Techno Biker,Pout,Green,Default,Clean,Purple,None,None,None,None,None,None,None,Quiver,None,None,None,Golden Revolver,None,None,43.232452081595035,163
163,None,Beanie,Heart Halter,Mumble,Black,Dark,Bob,Green Gray,None,None,Exalted Sword,None,None,None,None,None,None,None,None,None,None,None,27.28473221247878,164
164,Default Hand ETH,Beanie,White MURI Hoodie,Bubblegum,Green,Default,Buzz Cut,Green Gray,None,None,None,None,None,None,None,None,Crow,None,None,None,None,None,41.83220225989867,165
165,Default Hand Palm,None,Open Jacket,Hmm,Void,Default,Side Fringe,Light Purple,None,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,29.80132689785296,166
166,Demon Hand Face,None,Red Haus Hoodie,Meh,Closed,Demon,Spiky,Blue,None,None,None,None,None,Fangs,None,None,Chain Necklace,None,None,None,None,None,45.41112087271858,167
167,None,None,Side Shirt,Pout,Blue,Dark,Bob,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.6517252833885345,168
168,None,None,Navy Street Agent,Smile,Green,Pale,Side Fringe,Green Gray,None,Mark,Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,31.62026602106456,169
169,None,Light HAUS Cap,Light Edge Jacket,Hmm,Void,Pale,Buzz Cut,Green Gray,None,None,Dark Shotgun,None,None,None,None,None,None,None,None,None,None,None,31.790617083253427,170
170,None,None,Gilded Skelly,Open,Pink,Darker,Slick Back,Dark,None,Oval Sunglasses,None,None,None,None,None,None,Headphone,None,None,None,None,None,33.85111174653677,171
171,Default Open L,None,Dark WAGMI Bomber,Big Smile,Blue,Default,Long Fringe,Navy,None,None,Bazooka,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,39.35091675834244,172
172,None,None,Shadow Gaiden,Grin,Red,Dark,Long Flowy Locks,Red,None,None,Dark Machete,None,None,None,None,None,None,None,None,None,None,None,13.894065767502884,173
173,Pale Hand ETH,Bucket Hat,Black Haus Hoodie,Smile,Closed,Pale,Academy,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.075120926414264,174
174,None,None,Black Haus T-Shirt,Grunt,Closed,Dark,Long Fringe,Blue,None,Scar,None,None,Dark Side Mask,None,None,None,None,None,None,None,None,None,30.052564583085665,175
175,Fiend Hold,None,Dark Formal Shirt,Face Mask,Green,Fiend,Side Fringe,Blue,None,None,None,None,None,None,None,Giant Tomoe,None,None,None,Broken Arrow,None,None,45.986301380146784,176
176,Dark Hand ETH,None,White Haus Hoodie,Hmm,Red,Dark,Hime Ponytail,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.860584605591576,177
177,Default Hand Face,None,Green Ribbonstar,A,Hazel,Default,Hime Ponytail,Blue,None,None,None,None,None,Fangs,None,Tomoe,None,None,None,None,None,None,41.99533183887687,178
178,None,None,Metal,Bland,Green,Pale,Two Block,Purple,None,None,Swift Katana,None,None,None,Dot,None,None,None,None,None,None,None,33.31259835275527,179
179,Default Hand Face,None,White Asian Top,Face Mask,Blue,Default,Bangs Short,Navy,None,None,None,None,None,Silence,None,None,None,None,None,None,None,None,28.46854811014502,180
180,Default Hold,Agent Hat,Black Haus T-Shirt,Pout,Green,Default,Long Locks,Red,None,None,None,None,None,None,None,None,None,None,None,Handgun,None,None,40.92680065401285,181
181,None,None,Lumberjack,Toothpick,Black,Darker,Long Fringe,Purple,None,None,Machete,None,None,None,None,None,None,None,None,None,None,None,16.493850202503683,182
182,Default Open L,None,Side Shirt,Bubblegum,Blue,Default,Bangs Short,Navy,None,None,None,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,28.836950383280495,183
183,None,None,Red Yakuza Yukata,Big Smile,Blue,Pale,Braided Bun,Purple,None,None,Excalibur,None,Gas Mask,None,Dice,None,Chain Necklace,None,None,None,None,None,64.62929883711942,184
184,None,Dark Spacehelm,Open Vest,Hmm,Blue,Pale,Slick Back,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.150902821389323,185
185,Fiend Open R,None,Dark Jeans Hoodie,Biting Lips,Pink,Fiend,Spiky,Blue,None,None,None,None,None,None,None,None,None,Flame,None,None,None,None,32.47545677524181,186
186,None,None,White Haus Hoodie,Face Mask,Blue,Dark,Slick Back,Off White,None,None,Dark Machete,None,None,None,None,None,None,None,None,None,None,None,13.774141329832604,187
187,Default Open R,None,Red Trainer,Face Mask,Closed,Default,Short Fringe,Navy,None,None,None,None,None,None,None,None,None,Grenade,None,None,None,None,28.67187731264547,188
188,None,None,Navy Street Agent,Mumble,Pink,Demon,Messy,Blue,None,None,Swift Katana,None,None,None,None,None,None,None,None,None,None,None,15.143627263186849,189
189,None,None,Blue Male Yukata,Grunt,Closed,Fiend,Buzz Cut,Off White,None,Scar,None,None,None,None,None,None,Headphone,None,None,None,None,None,35.41155760928378,190
190,Dark Hand Face,None,Red Yukata Varsity,Meh,Green,Dark,Shag,Light Purple,None,Mark,Tech Sword,None,None,None,None,None,None,None,None,None,None,None,38.76021425776284,191
191,Demon Hand Palm,None,Yakuza Yukata,Biting Lips,Silver,Demon,Short Fringe,Off White,None,None,None,None,None,None,Dice,None,None,None,Karambit,None,None,None,48.78871463185589,192
192,None,None,White Haus T-Shirt,Grunt,Silver,Dark,Short Spiky,Dark,Icy Wind,None,Dark Shotgun,None,None,None,None,None,None,None,None,None,None,None,29.121352070166363,193
193,None,None,Lumberjack,Hmm,Blue,Fiend,Clean,Off White,None,None,Dark Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,17.698227063695864,194
194,None,Bandana,Plain Haus Denim,Pout,Black,Dark,Long Fringe,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.497969409771231,195
195,Default Hold,None,Light Technocoat,Smile,Green,Default,Messy,Blue,None,None,Red Saber,None,None,None,None,Dove,None,None,None,Soda,None,None,52.725700677572505,196
196,None,Bandana,MURI Hoodie,Mask,Closed,Dark,Shag,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.013141461484125,197
197,None,Ushanka,Sky Haus Hoodie,Grin,Pink,Fiend,Short Ponytail,Blue,None,None,Sawn-off,None,None,None,None,None,None,None,None,None,None,None,28.82965902934927,198
198,Default Hold,None,Navy Ether,Pout,Blue,Default,Braided Bun,Dark,None,Boston Glasses,None,None,None,None,None,None,None,None,None,Revolver,None,None,42.06313685952566,199
199,None,None,Light Open Jacket,Meh,Hazel,Dark,Straight Headband,Light Purple,None,None,Katana,None,None,None,None,None,None,None,None,None,None,None,13.814108139601128,200
200,Default Hold,None,Light Male Yukata,A,Green,Default,Shag,Blue,None,Scar 2,None,None,None,None,None,None,None,None,None,Revolver,None,None,40.60188987030298,201
201,None,Hat,Dark Side Shirt,Grunt,Green,Dark,Short Ponytail,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.424971941788277,202
202,None,None,Light Male Yukata,Big Smile,Green,Pale,Short Spiky,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.1019720796102375,203
203,None,None,Serpent Raider,Smile,Closed,Dark,Hime Ponytail,Off White,None,White Browline Sunglasses,None,None,None,None,None,None,None,None,None,None,None,None,16.01407139702422,204
204,None,Light HAUS Cap,Green Haus T-Shirt,Grin,Blue,Darker,Hime Ponytail,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.829147226209404,205
205,None,None,Techno Biker,Smile,Black,Dark,Short Spiky,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.520002989596105,206
206,None,Bucket Hat,White Leather Coat,Mumble,Closed,Dark,Slick Back,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.195604254932245,207
207,Default Open L,Hat,Red Jeans Hoodie,Meh,Closed,Default,Bowl Cut,Dark,None,None,None,phase.module [the generation] v0.02,None,None,None,None,Chain Necklace,None,None,None,None,None,56.056160933913425,208
208,Dark Open L,None,Light Bomber,Smile,Green,Dark,Shag,Green Gray,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,28.31553983546508,209
209,Default Hand Face,None,Street Agent,Grunt,Red,Default,Slick Back,Off White,Lightning,None,None,None,None,Fangs,None,None,Headphone,None,None,None,None,None,59.44565225730047,210
210,None,None,White Drive,Bland,Hazel,Demon,Long Fringe,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.245115947518421,211
211,None,Ushanka,Navy Haus T-Shirt,Face Mask,Silver,Darker,Messy,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.192344903566408,212
212,Default Open L,None,Technocoat,Hmm,Silver,Default,Side Fringe,Blue,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,26.077510330207332,213
213,None,None,Open Vest,Big Smile,Silver,Pale,Bowl Cut,Purple,None,None,None,None,None,None,Cross,None,Chain Necklace,None,None,None,None,None,37.64248748983782,214
214,None,None,Green Haus T-Shirt,Pout,Silver,Darker,Bob,Purple,None,None,None,None,None,None,None,Corrupted Skulls,None,None,None,None,None,None,18.99955391467235,215
215,None,None,Dark Half Yukata,Open,Closed,Dark,Hime Cut,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.000394048642856,216
216,Dark Hand ETH,None,Heart Halter,Face Mask,Blue,Dark,Long Locks,Navy,Lightning,None,Red Saber,None,None,None,None,None,None,None,None,None,None,None,39.985080889551774,217
217,Default Hand Palm,None,Light Edge Jacket,Hmm,Hazel,Default,Shag,Navy,None,Splatter,None,None,Gas Mask,None,None,None,None,None,Cutter,None,None,None,58.867141616943464,218
218,None,None,Green Ribbonstar,Grunt,Closed,Dark,Long Twintail,Navy,None,Splatter,None,None,None,None,None,Fishes,None,None,None,None,None,None,31.265507958703072,219
219,None,Bandana,Woodland Camo,Face Mask,Green,Dark,Side Fringe,Navy,Chains,None,None,None,None,None,None,None,None,None,None,None,None,None,31.084816543958226,220
220,None,None,Light Open Jacket,Face Mask,Green,Darker,Braided Bun,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.932974182640648,221
221,Dark Hand ETH,None,Admiral,Big Smile,Hazel,Dark,Side Fringe,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.360827624032163,222
222,None,None,Black Varsity Jacket,Open,Closed,Darker,Two Block,Blue,Cash,None,None,None,None,None,None,None,None,None,None,None,None,None,16.99766917474187,223
223,None,None,Red Yakuza Yukata,Hmm,Pink,Fiend,Bob,White,Feathers,None,None,None,Gas Mask,None,None,None,None,None,None,None,None,None,36.96832283857038,224
224,Default Hand Face,Blue Cap,Bomber,Big Smile,Hazel,Default,Bowl Cut,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.38449358827013,225
225,None,None,Admiral,Smile,Silver,Fiend,Bowl Cut,Navy,None,Boston Glasses,None,None,None,None,None,None,None,None,None,None,None,None,20.400312675369285,226
226,None,None,Dark Ether,Meh,Radar,Demon,Bob,Green Gray,None,Splatter,None,None,None,None,None,Dove,None,None,None,None,None,None,36.57055646531452,227
227,None,None,Red Asian Top,Face Mask,Red,Fiend,Twin Bun,Navy,None,None,None,None,None,None,None,Angel Wings,None,None,None,None,None,None,21.309092745946913,228
228,Default Hand Palm,None,Techno Biker,Grunt,Red,Default,Bowl Cut,Dark,None,None,None,None,Gas Mask,None,Dice,None,Crow,None,Cutter,None,None,None,75.84143279020084,229
229,None,None,White Asian Top,Face Mask,Green,Dark,Short Ponytail,Light Purple,None,None,Katana,None,None,None,None,None,None,None,None,None,None,None,13.85235347894593,230
230,Demon Hand ETH,None,Brown Street Agent,Grin,Hazel,Demon,Bowl Cut,Blue,None,None,None,None,Demon Horn,None,None,None,None,None,None,None,None,None,29.856876423574548,231
231,None,None,Black Haus Hoodie,Biting Lips,Black,Dark,Academy,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.161315592823697,232
232,None,None,Red Jeans Hoodie,Hmm,Green,Dark,Slick Back,Light Purple,Cash,None,Shotgun,None,None,None,None,None,None,None,None,None,None,None,29.302098253978738,233
233,Pale Hand ETH,None,Azure Gaiden,Mask,Blue,Pale,Bob,Light Purple,None,None,Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,28.093416600912647,234
234,None,None,Jet Leather Coat,Big Smile,Red,Dark,Buzz Cut,Navy,None,None,Blue Saber,None,None,None,None,None,None,None,None,None,None,None,13.989645378506916,235
235,None,None,Brown Street Agent,Mask,Pink,Dark,Clean,Navy,None,None,None,None,None,None,None,Duality Skulls,None,None,None,None,None,None,17.755270933222096,236
236,None,None,Blood Worshipper,Mask,Closed,Darker,Short Ponytail,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.5193876194079787,237
237,Default Open L,Newsboy Hat,Heart Halter,Mumble,Closed,Default,Academy,Dark,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,Big Headphone,None,None,None,None,None,55.816387516554414,238
238,None,None,Green Open Vest,Mumble,Closed,Dark,None,Blue,None,None,None,None,None,None,None,None,None,None,None,None,Mecha,None,17.941080873532155,239
239,Default Hold,None,Orange Camo,Open,Icevision,Default,Buzz Cut,Purple,Stargazer,Splatter,Dark Machete,None,None,None,None,None,None,None,None,Golden Revolver,None,None,71.28866067190664,240
240,None,None,Dark Jeans Hoodie,Mask,Blue,Fiend,Side Fringe,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.018531497356556,241
241,None,White Bucket Hat,Red Haus Hoodie,Meh,Blue,Darker,Long Fringe,Dark,None,None,Dark Machete,None,None,None,None,None,None,None,None,None,None,None,28.343034319806566,242
242,None,Newsboy Hat,Nu Sailor,Big Smile,Hazel,Pale,Long Locks,Purple,None,None,None,None,None,None,None,Angel Wings,None,None,None,None,None,None,34.42292075892898,243
243,None,None,Choker Corset,Open,Closed,Fiend,Short Ponytail,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.5284926934625584,244
244,None,None,Green Open Vest,Hmm,Blue,Dark,Short Fringe,Dark,None,None,Swift Katana,None,Gas Mask,None,None,None,None,None,None,None,None,None,29.553953677505458,245
245,Default Hand Palm,None,White Asian Top,Mask,Red,Default,Academy,White,None,None,None,None,None,None,None,None,None,None,Knife,None,None,None,28.89947534974542,246
246,None,None,Dark Ether,Grunt,Blue,Darker,Hime Cut,White,None,None,Red Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,15.27739777699505,247
247,None,None,Formal Shirt,Big Smile,Hazel,Fiend,Shag,Off White,None,None,AK,None,None,None,None,None,None,None,None,None,None,None,17.536599897905827,248
248,Darker Open R,None,Sky Haus Hoodie,Grin,Hazel,Darker,Short Fringe,Red,None,None,None,None,None,None,None,None,Crow,Dice,None,None,None,None,46.59252210306904,249
249,Darker Hand Face,Badges Cap,Green Haus T-Shirt,Grin,Green,Darker,Shag,Blue,None,None,None,None,None,Silence,Cross,None,None,None,None,None,None,None,57.908057183702,250
250,None,None,Light Bomber,Bland,Blue,Darker,Buzz Cut,White,None,None,Katana,None,None,None,None,None,None,None,None,None,None,None,15.324303543411286,251
251,None,None,Red Haus Hoodie,A,Red,Dark,Slick Back,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.4800535645108575,252
252,Default Hand Face,None,Green Yakuza Yukata,A,Closed,Default,Spiky,Blue,None,Scar 2,Dark Machete,None,None,Silence,None,None,None,None,None,None,None,None,52.04812765665663,253
253,None,None,Knight,Open,Blue,Pale,Spiky,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.336266327958302,254
254,None,None,Streetsuit,Mumble,Silver,Dark,Long Fringe,Light Purple,None,None,None,None,None,None,Rings,None,None,None,None,None,None,None,18.47290691492493,255
255,Dark Hold,None,Edge Camo Jacket,Pout,Silver,Dark,Buzz Cut,Blue,None,None,None,None,None,None,None,None,None,None,None,Revolver,None,None,27.18608259424007,256
256,None,None,Trainer,Bland,Red,Darker,Bowl Cut,Blue,None,None,Red Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,13.55174040696426,257
257,None,None,Dark Ether,Pout,Blue,Fiend,Bob,Blue,None,Clear Glasses,None,None,None,None,None,None,None,None,None,None,None,None,18.582613600855634,258
258,Demon Open L,None,White Asian Top,Open,Closed,Demon,Long Twintail,Blue,Stargazer,None,Tech Sword,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,55.854649030269364,259
259,None,Bandana,Bomber,Bland,Blue,Darker,Buzz Cut,Navy,None,Scar,None,None,None,None,None,None,None,None,None,None,None,None,31.408130513832198,260
260,None,None,Dark Ether,Smile,Black,Fiend,Hime Ponytail,Dark,None,None,None,None,Goggles,None,None,None,None,None,None,None,None,None,21.538382362539437,261
261,None,None,Dark Side Shirt,Open,Void,Darker,Long Flowy Locks,Blue,Feathers,None,Red Excalibur,None,None,None,None,None,None,None,None,None,None,None,30.07885831990173,262
262,None,None,White Haus T-Shirt,Mask,Pink,Demon,Long Twintail,Blue,None,None,Minigun,None,None,None,None,None,None,None,None,None,None,None,15.089746902911244,263
263,Default Hold,None,White Haus T-Shirt,Bland,Hazel,Default,Long Fringe,Blue,None,None,None,None,None,None,None,None,None,None,None,Broken Arrow,None,None,25.97328247567837,264
